direction,alpha,coherent,probe_layer,position,target,acc_unsteered,acc_steered,d_acc,margin_shift_sd,margin_sd_ratio,dcontrast
intent_probe,-0.025,True,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,0.0006
intent_probe,-0.025,True,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,0.0006
intent_probe,-0.025,True,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,0.0006
intent_probe,-0.025,True,24,downstream,intent,0.8926,0.8591,-0.0336,-0.3032,0.9807,0.0006
intent_probe,-0.025,True,24,downstream,outcome,0.9966,0.9966,0.0,0.0201,1.0073,0.0006
intent_probe,-0.025,True,32,final layer,intent,0.8624,0.8389,-0.0235,-0.2603,0.981,0.0006
intent_probe,-0.025,True,32,final layer,outcome,0.9899,0.9899,0.0,0.0193,1.0049,0.0006
intent_probe,0.025,True,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,-0.0013
intent_probe,0.025,True,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,-0.0013
intent_probe,0.025,True,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,-0.0013
intent_probe,0.025,True,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,-0.0013
intent_probe,0.025,True,24,downstream,intent,0.8926,0.8725,-0.0201,0.3031,1.0173,-0.0013
intent_probe,0.025,True,24,downstream,outcome,0.9966,0.9966,0.0,-0.02,0.9915,-0.0013
intent_probe,0.025,True,32,final layer,intent,0.8624,0.8557,-0.0067,0.2605,1.0185,-0.0013
intent_probe,0.025,True,32,final layer,outcome,0.9899,0.9899,0.0,-0.0191,0.9943,-0.0013
intent_probe,0.05,True,12,upstream (cannot be affected),intent,0.6846,0.6846,0.0,0.0,1.0,-0.0026
intent_probe,0.05,True,12,upstream (cannot be affected),outcome,0.9698,0.9698,0.0,0.0,1.0,-0.0026
intent_probe,0.05,True,16,steering site,intent,0.8456,0.8456,0.0,0.0,1.0,-0.0026
intent_probe,0.05,True,16,steering site,outcome,0.9933,0.9933,0.0,0.0,1.0,-0.0026
intent_probe,0.05,True,24,downstream,intent,0.8926,0.8087,-0.0839,0.6033,1.032,-0.0026
